col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,report_date
,,Yesterday,Today,Yesterday,Today,Yesterday,Today,Yesterday,Today,Yesterday,Today,2026-06-17
,,,,,V  E  G  E  T  A  B  L  E  S,,,,,,,2026-06-17
Beans,Rs./kg,550.00,500.00,440.00,450.00,600.00,550.00,470.00,480.00,800.00,800.00,2026-06-17
Carrot,Rs./kg,300.00,300.00,290.00,265.00,350.00,350.00,320.00,295.00,560.00,560.00,2026-06-17
Cabbage,Rs./kg,100.00,100.00,125.00,115.00,170.00,180.00,155.00,145.00,360.00,360.00,2026-06-17
Tomato,Rs./kg,750.00,750.00,600.00,600.00,800.00,800.00,630.00,630.00,900.00,800.00,2026-06-17
Brinjal,Rs./kg,250.00,250.00,140.00,165.00,300.00,300.00,170.00,195.00,480.00,480.00,2026-06-17
Pumpkin,Rs./kg,80.00,80.00,55.00,93.00,130.00,130.00,85.00,123.00,160.00,160.00,2026-06-17
Snake gourd,Rs./kg,300.00,250.00,190.00,175.00,350.00,300.00,220.00,205.00,600.00,600.00,2026-06-17
Green Chilli,Rs./kg,650.00,700.00,450.00,500.00,750.00,800.00,480.00,530.00,800.00,800.00,2026-06-17
Lime,Rs./kg,600.00,600.00,335.00,385.00,700.00,700.00,365.00,415.00,900.00,900.00,2026-06-17
,,,,,O  T  H  E  R,,,,,,,2026-06-17
Red Onion (Local),Rs./kg,383.00,380.00,275.00,275.00,n.a.,n.a.,295.00,295.00,n.a.,n.a.,2026-06-17
Red Onion (lmp),Rs./kg,350.00,340.00,335.00,290.00,380.00,417.00,355.00,310.00,600.00,600.00,2026-06-17
Big Onion (Local),Rs./kg,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2026-06-17
Big Onion (Imp),Rs./kg,162.00,157.00,165.00,155.00,203.00,200.00,185.00,175.00,260.00,260.00,2026-06-17
Potato (Local),Rs./kg,294.00,288.00,255.00,265.00,370.00,355.00,275.00,285.00,350.00,350.00,2026-06-17
Potato (Imp),Rs./kg,182.00,182.00,200.00,178.00,207.00,210.00,220.00,198.00,280.00,280.00,2026-06-17
