date,category,item,unit,market,price_type,price,yesterday_price,week_avg,daily_change
2026-06-16,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,215.0,,215.0,
2026-06-17,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,215.0,215.0,215.0,0.0
2026-06-18,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,215.0,215.0,215.0,0.0
2026-06-19,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,215.0,215.0,215.0,0.0
2026-06-21,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,215.0,215.0,215.0,0.0
2026-06-22,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,215.0,211.66666666666666,-20.0
2026-06-23,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,209.28571428571428,0.0
2026-06-24,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,206.42857142857142,0.0
2026-06-25,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,203.57142857142858,0.0
2026-06-26,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,200.71428571428572,0.0
2026-06-30,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,197.85714285714286,0.0
2026-07-01,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-02,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-03,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-06,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-07,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-09,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-10,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-13,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-15,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-16,GENERAL,Apple (Imp),Rs./Each,Pettah/Peliyagoda,Retail,195.0,195.0,195.0,0.0
2026-07-01,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Retail,1440.0,,1440.0,
2026-07-09,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Retail,1200.0,1440.0,1320.0,-240.0
2026-07-10,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Retail,1550.0,1200.0,1396.6666666666667,350.0
2026-07-13,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Retail,1340.0,1550.0,1382.5,-210.0
2026-07-16,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Retail,1360.0,1340.0,1378.0,20.0
2026-07-01,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Wholesale,1150.0,,1150.0,
2026-07-09,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Wholesale,1000.0,1150.0,1075.0,-150.0
2026-07-10,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Wholesale,1250.0,1000.0,1133.3333333333333,250.0
2026-07-13,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Wholesale,1050.0,1250.0,1112.5,-200.0
2026-07-16,GENERAL,Balaya,Rs./kg,Dambulla/Negombo,Wholesale,1100.0,1050.0,1110.0,50.0
2026-06-16,GENERAL,Balaya,Rs./kg,Pettah/Peliyagoda,Wholesale,1400.0,,1400.0,
2026-06-17,GENERAL,Balaya,Rs./kg,Pettah/Peliyagoda,Wholesale,1300.0,1400.0,1350.0,-100.0
